id,asset,year,rep_period,time_block_start,time_block_end,dual_max_ramp_up_with_unit_commitment,dual_max_ramp_down_with_unit_commitment
2926,UK_Gas,2050,1,11,12,0.0,0.0
2927,UK_Gas,2050,1,13,14,0.0,0.0
2928,UK_Gas,2050,1,15,16,0.0,0.0
2929,UK_Gas,2050,1,17,18,0.0,0.0
2930,UK_Gas,2050,1,19,20,0.0,0.0
2931,UK_Gas,2050,1,21,22,0.0,0.0
2932,UK_Gas,2050,1,23,24,0.0,0.0
2933,UK_Gas,2050,2,1,2,-0.0,-0.0
2934,UK_Gas,2050,2,3,4,0.0,0.0
2935,UK_Gas,2050,2,5,6,0.0,0.0
2936,UK_Gas,2050,2,7,8,0.0,0.0
2937,UK_Gas,2050,2,9,10,0.0,0.0
2938,UK_Gas,2050,2,11,12,0.0,0.0
2939,UK_Gas,2050,2,13,14,-6.251331371999999,0.0
2940,UK_Gas,2050,2,15,16,-12.502662743999997,0.0
2941,UK_Gas,2050,2,17,18,-18.753994115999994,0.0
2942,UK_Gas,2050,2,19,20,0.0,0.0
2943,UK_Gas,2050,2,21,22,0.0,21.082662744
2944,UK_Gas,2050,2,23,24,0.0,10.541331372
2945,UK_Gas,2050,3,1,2,-0.0,-0.0
2946,UK_Gas,2050,3,3,4,0.0,0.0
2947,UK_Gas,2050,3,5,6,0.0,0.0
2948,UK_Gas,2050,3,7,8,0.0,0.0
2949,UK_Gas,2050,3,9,10,0.0,0.0
2950,UK_Gas,2050,3,11,12,0.0,0.0
2951,UK_Gas,2050,3,13,14,0.0,0.0
2952,UK_Gas,2050,3,15,16,0.0,0.0
2953,UK_Gas,2050,3,17,18,0.0,0.0
2954,UK_Gas,2050,3,19,20,0.0,0.0
2955,UK_Gas,2050,3,21,22,0.0,0.0
2956,UK_Gas,2050,3,23,24,0.0,0.0
2957,UK_Gas,2050,4,1,2,-0.0,-0.0
2958,UK_Gas,2050,4,3,4,0.0,0.0
2959,UK_Gas,2050,4,5,6,0.0,0.0
2960,UK_Gas,2050,4,7,8,0.0,0.0
2961,UK_Gas,2050,4,9,10,0.0,0.0
2962,UK_Gas,2050,4,11,12,0.0,0.0
2963,UK_Gas,2050,4,13,14,0.0,0.0
2964,UK_Gas,2050,4,15,16,0.0,0.0
2965,UK_Gas,2050,4,17,18,0.0,0.0
2966,UK_Gas,2050,4,19,20,0.0,0.0
2967,UK_Gas,2050,4,21,22,0.0,0.0
2968,UK_Gas,2050,4,23,24,0.0,0.0
2969,UK_Gas,2050,5,1,2,-0.0,-0.0
2970,UK_Gas,2050,5,3,4,0.0,0.0
2971,UK_Gas,2050,5,5,6,0.0,0.0
2972,UK_Gas,2050,5,7,8,0.0,0.0
2973,UK_Gas,2050,5,9,10,0.0,0.0
2974,UK_Gas,2050,5,11,12,0.0,0.0
2975,UK_Gas,2050,5,13,14,0.0,0.0
2976,UK_Gas,2050,5,15,16,0.0,0.0
2977,UK_Gas,2050,5,17,18,0.0,0.0
2978,UK_Gas,2050,5,19,20,0.0,0.0
2979,UK_Gas,2050,5,21,22,0.0,0.0
2980,UK_Gas,2050,5,23,24,0.0,0.0
2981,UK_Gas,2050,6,1,2,-0.0,-0.0
2982,UK_Gas,2050,6,3,4,0.0,0.0
2983,UK_Gas,2050,6,5,6,0.0,0.0
2984,UK_Gas,2050,6,7,8,0.0,0.0
2985,UK_Gas,2050,6,9,10,0.0,0.0
2986,UK_Gas,2050,6,11,12,0.0,0.0
2987,UK_Gas,2050,6,13,14,0.0,0.0
2988,UK_Gas,2050,6,15,16,0.0,0.0
2989,UK_Gas,2050,6,17,18,0.0,0.0
2990,UK_Gas,2050,6,19,20,0.0,0.0
2991,UK_Gas,2050,6,21,22,0.0,0.0
2992,UK_Gas,2050,6,23,24,0.0,0.0
2993,UK_Gas,2050,7,1,2,-0.0,-0.0
2994,UK_Gas,2050,7,3,4,0.0,0.0
2995,UK_Gas,2050,7,5,6,-11.819068508,0.0
2996,UK_Gas,2050,7,7,8,-23.638137016,0.0
2997,UK_Gas,2050,7,9,10,-30.647205524,0.0
2998,UK_Gas,2050,7,11,12,0.0,0.0
2999,UK_Gas,2050,7,13,14,0.0,0.0
3000,UK_Gas,2050,7,15,16,0.0,0.0
3001,UK_Gas,2050,7,17,18,0.0,0.0
3002,UK_Gas,2050,7,19,20,0.0,0.0
3003,UK_Gas,2050,7,21,22,0.0,18.828137016
3004,UK_Gas,2050,7,23,24,0.0,11.819068508
3005,UK_Gas,2050,8,1,2,-0.0,-0.0
3006,UK_Gas,2050,8,3,4,0.0,0.0
3007,UK_Gas,2050,8,5,6,0.0,0.0
3008,UK_Gas,2050,8,7,8,0.0,0.0
3009,UK_Gas,2050,8,9,10,0.0,0.0
3010,UK_Gas,2050,8,11,12,0.0,0.0
3011,UK_Gas,2050,8,13,14,0.0,0.0
3012,UK_Gas,2050,8,15,16,0.0,0.0
3013,UK_Gas,2050,8,17,18,0.0,0.0
3014,UK_Gas,2050,8,19,20,0.0,0.0
3015,UK_Gas,2050,8,21,22,0.0,0.0
3016,UK_Gas,2050,8,23,24,0.0,0.0
3017,UK_Gas,2050,9,1,2,-0.0,-0.0
3018,UK_Gas,2050,9,3,4,0.0,0.0
3019,UK_Gas,2050,9,5,6,0.0,0.0
3020,UK_Gas,2050,9,7,8,0.0,0.0
3021,UK_Gas,2050,9,9,10,0.0,0.0
3022,UK_Gas,2050,9,11,12,0.0,0.0
3023,UK_Gas,2050,9,13,14,0.0,0.0
