asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
IE_Gas,7933.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
IE_OCGT,116.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
CH_E_ENS,12735.08856,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
CH_Wind_Onshore,2223.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
CH_Solar,13312.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
CH_Hydro,13775.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
CH_Nuclear,0.0,0.0,,0.0,1.0,0,,false,false,none,false,0.3,0.3,0.25,true,false,1.0,producer,true,true,basic,
AT_E_ENS,18940.2772,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
AT_Wind_Onshore,41145.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
AT_Solar,53129.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
AT_Hydro,8137.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
AT_Gas,3260.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
LU_E_ENS,2251.17408,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
LU_Wind_Onshore,600.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
LU_Solar,2190.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
LU_Hydro,43.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
CZ_E_ENS,12355.1616,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
CZ_Wind_Onshore,4486.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
CZ_Solar,22485.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
