from_asset,partition,rep_period,specification,to_asset,year
GR_OCGT,4,1,uniform,GR_E_Balance,2050
BG_E_Balance,4,1,uniform,BG_E_Demand,2050
BG_E_ENS,4,1,uniform,BG_E_Demand,2050
BG_Wind_Onshore,4,1,uniform,BG_E_Balance,2050
BG_Solar,4,1,uniform,BG_E_Balance,2050
BG_Hydro,4,1,uniform,BG_E_Balance,2050
BG_Hydro_Reservoir,4,1,uniform,BG_E_Balance,2050
BG_Nuclear,4,1,uniform,BG_E_Balance,2050
BG_E_Balance,4,1,uniform,BG_Pump_Hydro_Closed,2050
BG_Pump_Hydro_Closed,4,1,uniform,BG_E_Balance,2050
BG_E_Balance,4,1,uniform,BG_Pump_Hydro_Open,2050
BG_Pump_Hydro_Open,4,1,uniform,BG_E_Balance,2050
BG_Coal,4,1,uniform,BG_E_Balance,2050
BG_Gas,4,1,uniform,BG_E_Balance,2050
BG_OCGT,4,1,uniform,BG_E_Balance,2050
RO_E_Balance,4,1,uniform,RO_E_Demand,2050
RO_E_ENS,4,1,uniform,RO_E_Demand,2050
RO_Wind_Onshore,4,1,uniform,RO_E_Balance,2050
RO_Wind_Offshore,4,1,uniform,RO_E_Balance,2050
RO_Solar,4,1,uniform,RO_E_Balance,2050
RO_Hydro,4,1,uniform,RO_E_Balance,2050
RO_Hydro_Reservoir,4,1,uniform,RO_E_Balance,2050
RO_Nuclear,4,1,uniform,RO_E_Balance,2050
RO_E_Balance,4,1,uniform,RO_Battery,2050
RO_Battery,4,1,uniform,RO_E_Balance,2050
RO_E_Balance,4,1,uniform,RO_Pump_Hydro_Open,2050
RO_Pump_Hydro_Open,4,1,uniform,RO_E_Balance,2050
RO_Coal,4,1,uniform,RO_E_Balance,2050
RO_Gas,4,1,uniform,RO_E_Balance,2050
RO_OCGT,4,1,uniform,RO_E_Balance,2050
CY_E_Balance,4,1,uniform,CY_E_Demand,2050
CY_E_ENS,4,1,uniform,CY_E_Demand,2050
CY_Wind_Onshore,4,1,uniform,CY_E_Balance,2050
CY_Solar,4,1,uniform,CY_E_Balance,2050
CY_E_Balance,4,1,uniform,CY_Battery,2050
CY_Battery,4,1,uniform,CY_E_Balance,2050
CY_Gas,4,1,uniform,CY_E_Balance,2050
DK_Battery,4,1,uniform,DK_E_Balance,2050
BG_Battery,4,1,uniform,BG_E_Balance,2050
FR_Battery,4,1,uniform,FR_E_Balance,2050
LV_Battery,4,1,uniform,LV_E_Balance,2050
PT_Battery,4,1,uniform,PT_E_Balance,2050
SK_Battery,4,1,uniform,SK_E_Balance,2050
OBZLL_Wind_Offshore,4,1,uniform,OBZLL_E_Balance,2050
NL_E_Balance,4,1,uniform,NL_electrolyzer,2050
NL_electrolyzer,4,1,uniform,NL_H_Demand,2050
EU_SMR_CCS,4,1,uniform,NL_H_Demand,2050
BE_E_Balance,4,1,uniform,BE_electrolyzer,2050
BE_electrolyzer,4,1,uniform,BE_H_Demand,2050
EU_SMR_CCS,4,1,uniform,BE_H_Demand,2050
DE_E_Balance,4,1,uniform,DE_electrolyzer,2050
DE_electrolyzer,4,1,uniform,DE_H_Demand,2050
EU_SMR_CCS,4,1,uniform,DE_H_Demand,2050
FR_E_Balance,4,1,uniform,FR_electrolyzer,2050
FR_electrolyzer,4,1,uniform,FR_H_Demand,2050
EU_SMR_CCS,4,1,uniform,FR_H_Demand,2050
DK_E_Balance,4,1,uniform,DK_electrolyzer,2050
DK_electrolyzer,4,1,uniform,DK_H_Demand,2050
EU_SMR_CCS,4,1,uniform,DK_H_Demand,2050
UK_E_Balance,4,1,uniform,UK_electrolyzer,2050
UK_electrolyzer,4,1,uniform,UK_H_Demand,2050
EU_SMR_CCS,4,1,uniform,UK_H_Demand,2050
IE_E_Balance,4,1,uniform,IE_electrolyzer,2050
IE_electrolyzer,4,1,uniform,IE_H_Demand,2050
EU_SMR_CCS,4,1,uniform,IE_H_Demand,2050
CH_E_Balance,4,1,uniform,CH_electrolyzer,2050
CH_electrolyzer,4,1,uniform,CH_H_Demand,2050
EU_SMR_CCS,4,1,uniform,CH_H_Demand,2050
AT_E_Balance,4,1,uniform,AT_electrolyzer,2050
AT_electrolyzer,4,1,uniform,AT_H_Demand,2050
EU_SMR_CCS,4,1,uniform,AT_H_Demand,2050
LU_E_Balance,4,1,uniform,LU_electrolyzer,2050
LU_electrolyzer,4,1,uniform,LU_H_Demand,2050
EU_SMR_CCS,4,1,uniform,LU_H_Demand,2050
