asset,partition,rep_period,specification,year
IE_Solar,4,2,uniform,2050
IE_Hydro,4,2,uniform,2050
IE_Gas,4,2,uniform,2050
IE_OCGT,4,2,uniform,2050
CH_E_ENS,4,2,uniform,2050
CH_Wind_Onshore,4,2,uniform,2050
CH_Solar,4,2,uniform,2050
CH_Hydro,4,2,uniform,2050
CH_Nuclear,4,2,uniform,2050
AT_E_ENS,4,2,uniform,2050
AT_Wind_Onshore,4,2,uniform,2050
AT_Solar,4,2,uniform,2050
AT_Hydro,4,2,uniform,2050
AT_Gas,4,2,uniform,2050
LU_E_ENS,4,2,uniform,2050
LU_Wind_Onshore,4,2,uniform,2050
LU_Solar,4,2,uniform,2050
LU_Hydro,4,2,uniform,2050
CZ_E_ENS,4,2,uniform,2050
CZ_Wind_Onshore,4,2,uniform,2050
CZ_Solar,4,2,uniform,2050
CZ_Hydro,4,2,uniform,2050
CZ_Nuclear,4,2,uniform,2050
CZ_Coal,4,2,uniform,2050
CZ_Gas,4,2,uniform,2050
PL_E_ENS,4,2,uniform,2050
PL_Wind_Onshore,4,2,uniform,2050
PL_Wind_Offshore,4,2,uniform,2050
PL_Solar,4,2,uniform,2050
PL_Hydro,4,2,uniform,2050
PL_Coal,4,2,uniform,2050
PL_Gas,4,2,uniform,2050
SE_E_ENS,4,2,uniform,2050
SE_Wind_Onshore,4,2,uniform,2050
SE_Wind_Offshore,4,2,uniform,2050
SE_Solar,4,2,uniform,2050
SE_Nuclear,4,2,uniform,2050
SE_Gas,4,2,uniform,2050
SE_OCGT,4,2,uniform,2050
NO_E_ENS,4,2,uniform,2050
NO_Wind_Onshore,4,2,uniform,2050
NO_Wind_Offshore,4,2,uniform,2050
NO_Solar,4,2,uniform,2050
ES_E_ENS,4,2,uniform,2050
ES_Wind_Onshore,4,2,uniform,2050
ES_Wind_Offshore,4,2,uniform,2050
ES_Solar,4,2,uniform,2050
ES_Hydro,4,2,uniform,2050
ES_Nuclear,4,2,uniform,2050
ES_Gas,4,2,uniform,2050
PT_E_ENS,4,2,uniform,2050
PT_Wind_Onshore,4,2,uniform,2050
PT_Wind_Offshore,4,2,uniform,2050
PT_Solar,4,2,uniform,2050
PT_Hydro,4,2,uniform,2050
PT_Gas,4,2,uniform,2050
IT_E_ENS,4,2,uniform,2050
IT_Wind_Onshore,4,2,uniform,2050
IT_Wind_Offshore,4,2,uniform,2050
IT_Solar,4,2,uniform,2050
IT_Hydro,4,2,uniform,2050
IT_Gas,4,2,uniform,2050
IT_OCGT,4,2,uniform,2050
MT_E_ENS,4,2,uniform,2050
MT_Solar,4,2,uniform,2050
MT_Gas,4,2,uniform,2050
SI_E_ENS,4,2,uniform,2050
SI_Wind_Onshore,4,2,uniform,2050
SI_Wind_Offshore,4,2,uniform,2050
SI_Solar,4,2,uniform,2050
SI_Hydro,4,2,uniform,2050
SI_Nuclear,4,2,uniform,2050
SI_Coal,4,2,uniform,2050
