id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
145,AT_Pump_Hydro_Closed,2050,213,216,-0.1117237630997679,0.0,0.0
146,AT_Pump_Hydro_Closed,2050,217,220,-0.1117237630997679,0.0,0.0
147,AT_Pump_Hydro_Closed,2050,221,224,-0.1117237630997679,0.0,0.0
148,AT_Pump_Hydro_Closed,2050,225,228,0.10713811114896843,0.0,0.0
149,AT_Pump_Hydro_Closed,2050,229,232,0.10713811114896843,0.0,0.0
150,AT_Pump_Hydro_Closed,2050,233,236,0.10713811114896843,0.0,0.0
151,AT_Pump_Hydro_Closed,2050,237,240,0.10713811114896843,0.0,0.0
152,AT_Pump_Hydro_Closed,2050,241,244,0.10713811114896843,0.0,0.0
153,AT_Pump_Hydro_Closed,2050,245,248,0.10713811114896843,0.0,0.0
154,AT_Pump_Hydro_Closed,2050,249,252,0.10713811114896843,0.0,0.0
155,AT_Pump_Hydro_Closed,2050,253,256,0.10713811114896843,0.0,0.0
156,AT_Pump_Hydro_Closed,2050,257,260,0.10713811114896843,-0.201313797499602,0.0
157,AT_Pump_Hydro_Closed,2050,261,264,-0.09417568635063356,0.0,0.0
158,AT_Pump_Hydro_Closed,2050,265,268,-0.09417568635063356,0.0,0.0
159,AT_Pump_Hydro_Closed,2050,269,272,-0.09417568635063356,0.0,0.0
160,AT_Pump_Hydro_Closed,2050,273,276,-0.09417568635063356,0.0,0.0
161,AT_Pump_Hydro_Closed,2050,277,280,-0.09417568635063356,0.0,0.0
162,AT_Pump_Hydro_Closed,2050,281,284,-0.09417568635063356,0.0,0.0
163,AT_Pump_Hydro_Closed,2050,285,288,-0.09417568635063356,0.0,0.0
164,AT_Pump_Hydro_Closed,2050,289,292,-0.09417568635063356,0.0,0.0
165,AT_Pump_Hydro_Closed,2050,293,296,-0.09417568635063356,0.0,0.0
166,AT_Pump_Hydro_Closed,2050,297,300,-0.09417568635063356,0.0,0.0
167,AT_Pump_Hydro_Closed,2050,301,304,-0.09417568635063356,0.0,0.0
168,AT_Pump_Hydro_Closed,2050,305,308,-0.09417568635063356,0.0,0.0
169,AT_Pump_Hydro_Closed,2050,309,312,-0.09417568635063356,0.0,0.0
170,AT_Pump_Hydro_Closed,2050,313,316,-0.05411198619624939,0.0,0.0
171,AT_Pump_Hydro_Closed,2050,317,320,-0.05411198619624939,0.0,0.0
