id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
298,BE_CCGT,2030,2,15,15,8,0.0
299,BE_CCGT,2030,2,17,17,9,0.0
300,BE_CCGT,2030,2,19,19,10,0.0
301,BE_CCGT,2030,2,21,21,11,0.0
302,BE_CCGT,2030,2,23,23,12,0.0
303,BE_CCGT,2030,3,3,3,2,0.0
304,BE_CCGT,2030,3,5,5,3,0.0
305,BE_CCGT,2030,3,7,7,4,0.0
306,BE_CCGT,2030,3,9,9,5,0.0
307,BE_CCGT,2030,3,11,11,6,0.0
308,BE_CCGT,2030,3,13,13,7,0.0
309,BE_CCGT,2030,3,15,15,8,0.0
310,BE_CCGT,2030,3,17,17,9,0.0
311,BE_CCGT,2030,3,19,19,10,0.0
312,BE_CCGT,2030,3,21,21,11,0.0
313,BE_CCGT,2030,3,23,23,12,0.0
314,BE_CCGT,2030,4,3,3,2,0.0
315,BE_CCGT,2030,4,5,5,3,0.0
316,BE_CCGT,2030,4,7,7,4,0.0
317,BE_CCGT,2030,4,9,9,5,0.0
318,BE_CCGT,2030,4,11,11,6,0.0
319,BE_CCGT,2030,4,13,13,7,0.0
320,BE_CCGT,2030,4,15,15,8,0.0
321,BE_CCGT,2030,4,17,17,9,0.0
322,BE_CCGT,2030,4,19,19,10,0.0
323,BE_CCGT,2030,4,21,21,11,0.0
324,BE_CCGT,2030,4,23,23,12,0.0
325,BE_CCGT,2030,5,3,3,2,0.0
326,BE_CCGT,2030,5,5,5,3,0.0
327,BE_CCGT,2030,5,7,7,4,0.0
328,BE_CCGT,2030,5,9,9,5,0.0
329,BE_CCGT,2030,5,11,11,6,0.0
330,BE_CCGT,2030,5,13,13,7,0.0
331,BE_CCGT,2030,5,15,15,8,0.0
332,BE_CCGT,2030,5,17,17,9,0.0
333,BE_CCGT,2030,5,19,19,10,0.0
334,BE_CCGT,2030,5,21,21,11,0.0
335,BE_CCGT,2030,5,23,23,12,0.0
336,BE_CCGT,2030,6,3,3,2,0.0
337,BE_CCGT,2030,6,5,5,3,0.0
338,BE_CCGT,2030,6,7,7,4,0.0
339,BE_CCGT,2030,6,9,9,5,0.0
340,BE_CCGT,2030,6,11,11,6,0.0
341,BE_CCGT,2030,6,13,13,7,0.0
342,BE_CCGT,2030,6,15,15,8,0.0
343,BE_CCGT,2030,6,17,17,9,0.0
344,BE_CCGT,2030,6,19,19,10,0.0
345,BE_CCGT,2030,6,21,21,11,0.0
346,BE_CCGT,2030,6,23,23,12,0.0
347,BE_CCGT,2030,7,3,3,2,0.0
348,BE_CCGT,2030,7,5,5,3,0.0
349,BE_CCGT,2030,7,7,7,4,0.0
350,BE_CCGT,2030,7,9,9,5,0.0
351,BE_CCGT,2030,7,11,11,6,0.0
352,BE_CCGT,2030,7,13,13,7,0.0
353,BE_CCGT,2030,7,15,15,8,0.0
354,BE_CCGT,2030,7,17,17,9,0.0
355,BE_CCGT,2030,7,19,19,10,0.0
356,BE_CCGT,2030,7,21,21,11,0.0
357,BE_CCGT,2030,7,23,23,12,0.0
358,BE_CCGT,2030,8,3,3,2,0.0
359,BE_CCGT,2030,8,5,5,3,0.0
360,BE_CCGT,2030,8,7,7,4,0.0
361,BE_CCGT,2030,8,9,9,5,0.0
362,BE_CCGT,2030,8,11,11,6,0.0
363,BE_CCGT,2030,8,13,13,7,0.0
364,BE_CCGT,2030,8,15,15,8,0.0
365,BE_CCGT,2030,8,17,17,9,0.0
366,BE_CCGT,2030,8,19,19,10,0.0
367,BE_CCGT,2030,8,21,21,11,0.0
368,BE_CCGT,2030,8,23,23,12,0.0
369,BE_CCGT,2030,9,3,3,2,0.0
370,BE_CCGT,2030,9,5,5,3,0.0
371,BE_CCGT,2030,9,7,7,4,0.0
372,BE_CCGT,2030,9,9,9,5,0.0
373,BE_CCGT,2030,9,11,11,6,0.0
374,BE_CCGT,2030,9,13,13,7,0.0
375,BE_CCGT,2030,9,15,15,8,0.0
376,BE_CCGT,2030,9,17,17,9,0.0
377,BE_CCGT,2030,9,19,19,10,0.0
378,BE_CCGT,2030,9,21,21,11,0.0
379,BE_CCGT,2030,9,23,23,12,0.0
380,BE_CCGT,2030,10,3,3,2,0.0
381,BE_CCGT,2030,10,5,5,3,0.0
382,BE_CCGT,2030,10,7,7,4,0.0
383,BE_CCGT,2030,10,9,9,5,0.0
384,BE_CCGT,2030,10,11,11,6,0.0
385,BE_CCGT,2030,10,13,13,7,0.0
386,BE_CCGT,2030,10,15,15,8,0.0
387,BE_CCGT,2030,10,17,17,9,0.0
388,BE_CCGT,2030,10,19,19,10,0.0
389,BE_CCGT,2030,10,21,21,11,0.0
390,BE_CCGT,2030,10,23,23,12,0.0
391,BE_Coal,2030,1,3,3,2,0.0
392,BE_Coal,2030,1,5,5,3,0.0
393,BE_Coal,2030,1,7,7,4,0.0
394,BE_Coal,2030,1,9,9,5,0.0
395,BE_Coal,2030,1,11,11,6,0.0
396,BE_Coal,2030,1,13,13,7,0.0
397,BE_Coal,2030,1,15,15,8,0.0
398,BE_Coal,2030,1,17,17,9,0.0
399,BE_Coal,2030,1,19,19,10,0.0
400,BE_Coal,2030,1,21,21,11,0.0
401,BE_Coal,2030,1,23,23,12,0.0
402,BE_Coal,2030,2,3,3,2,0.0
403,BE_Coal,2030,2,5,5,3,0.0
404,BE_Coal,2030,2,7,7,4,0.0
