id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
852,HU_electrolyzer,2050,2,21,24,1.0725000000000002
853,HU_electrolyzer,2050,3,1,4,0.9425000000000002
854,HU_electrolyzer,2050,3,5,8,0.9425000000000002
855,HU_electrolyzer,2050,3,9,12,0.8595835625000002
856,HU_electrolyzer,2050,3,13,16,0.9425000000000002
857,HU_electrolyzer,2050,3,17,20,0.9425000000000002
858,HU_electrolyzer,2050,3,21,24,0.9425000000000002
859,HU_electrolyzer,2050,4,1,4,0.7475000000000002
860,HU_electrolyzer,2050,4,5,8,0.7475000000000002
861,HU_electrolyzer,2050,4,9,12,0.2645
862,HU_electrolyzer,2050,4,13,16,0.5723046875000003
863,HU_electrolyzer,2050,4,17,20,0.7475000000000002
864,HU_electrolyzer,2050,4,21,24,0.7474999999999998
865,HU_electrolyzer,2050,5,1,4,1.6900000000000002
866,HU_electrolyzer,2050,5,5,8,1.6900000000000002
867,HU_electrolyzer,2050,5,9,12,0.598
868,HU_electrolyzer,2050,5,13,16,0.598
869,HU_electrolyzer,2050,5,17,20,1.6900000000000002
870,HU_electrolyzer,2050,5,21,24,1.6900000000000002
871,HU_electrolyzer,2050,6,1,4,0.5850000000000002
872,HU_electrolyzer,2050,6,5,8,0.5850000000000001
873,HU_electrolyzer,2050,6,9,12,-0.0
874,HU_electrolyzer,2050,6,13,16,-0.0
875,HU_electrolyzer,2050,6,17,20,0.5850000000000001
876,HU_electrolyzer,2050,6,21,24,0.5850000000000001
877,HU_electrolyzer,2050,7,1,4,1.2025000000000001
878,HU_electrolyzer,2050,7,5,8,1.2025000000000001
879,HU_electrolyzer,2050,7,9,12,-0.0
880,HU_electrolyzer,2050,7,13,16,-0.0
881,HU_electrolyzer,2050,7,17,20,1.2025000000000001
882,HU_electrolyzer,2050,7,21,24,1.2025000000000001
883,HU_electrolyzer,2050,8,1,4,1.0075
884,HU_electrolyzer,2050,8,5,8,0.7713671875000001
885,HU_electrolyzer,2050,8,9,12,-0.0
886,HU_electrolyzer,2050,8,13,16,-0.0
887,HU_electrolyzer,2050,8,17,20,1.0075
888,HU_electrolyzer,2050,8,21,24,1.0075
889,HU_electrolyzer,2050,9,1,4,1.3975
890,HU_electrolyzer,2050,9,5,8,1.3975000000000002
891,HU_electrolyzer,2050,9,9,12,-0.0
892,HU_electrolyzer,2050,9,13,16,-0.0
893,HU_electrolyzer,2050,9,17,20,1.3975
894,HU_electrolyzer,2050,9,21,24,1.3975
895,HU_electrolyzer,2050,10,1,4,1.4950000000000003
896,HU_electrolyzer,2050,10,5,8,1.4950000000000003
897,HU_electrolyzer,2050,10,9,12,1.4950000000000003
898,HU_electrolyzer,2050,10,13,16,1.4950000000000003
899,HU_electrolyzer,2050,10,17,20,1.4950000000000006
900,HU_electrolyzer,2050,10,21,24,1.4949999999999994
901,IE_electrolyzer,2050,1,1,4,-0.0
902,IE_electrolyzer,2050,1,5,8,-0.0
903,IE_electrolyzer,2050,1,9,12,-0.0
904,IE_electrolyzer,2050,1,13,16,-0.0
905,IE_electrolyzer,2050,1,17,20,-0.0
906,IE_electrolyzer,2050,1,21,24,-0.0
907,IE_electrolyzer,2050,2,1,4,-0.0
908,IE_electrolyzer,2050,2,5,8,-0.0
909,IE_electrolyzer,2050,2,9,12,-0.0
910,IE_electrolyzer,2050,2,13,16,-0.0
911,IE_electrolyzer,2050,2,17,20,-0.0
912,IE_electrolyzer,2050,2,21,24,-0.0
913,IE_electrolyzer,2050,3,1,4,-0.0
914,IE_electrolyzer,2050,3,5,8,-0.0
915,IE_electrolyzer,2050,3,9,12,-0.0
916,IE_electrolyzer,2050,3,13,16,-0.0
917,IE_electrolyzer,2050,3,17,20,-0.0
918,IE_electrolyzer,2050,3,21,24,-0.0
919,IE_electrolyzer,2050,4,1,4,-0.0
920,IE_electrolyzer,2050,4,5,8,-0.0
921,IE_electrolyzer,2050,4,9,12,-0.0
922,IE_electrolyzer,2050,4,13,16,-0.0
923,IE_electrolyzer,2050,4,17,20,-0.0
924,IE_electrolyzer,2050,4,21,24,-0.0
925,IE_electrolyzer,2050,5,1,4,-0.0
926,IE_electrolyzer,2050,5,5,8,-0.0
927,IE_electrolyzer,2050,5,9,12,-0.0
928,IE_electrolyzer,2050,5,13,16,-0.0
929,IE_electrolyzer,2050,5,17,20,-0.0
930,IE_electrolyzer,2050,5,21,24,-0.0
931,IE_electrolyzer,2050,6,1,4,-0.0
932,IE_electrolyzer,2050,6,5,8,-0.0
933,IE_electrolyzer,2050,6,9,12,-0.0
934,IE_electrolyzer,2050,6,13,16,-0.0
935,IE_electrolyzer,2050,6,17,20,-0.0
936,IE_electrolyzer,2050,6,21,24,-0.0
937,IE_electrolyzer,2050,7,1,4,-0.0
938,IE_electrolyzer,2050,7,5,8,-0.0
939,IE_electrolyzer,2050,7,9,12,-0.0
940,IE_electrolyzer,2050,7,13,16,-0.0
941,IE_electrolyzer,2050,7,17,20,-0.0
942,IE_electrolyzer,2050,7,21,24,-0.0
943,IE_electrolyzer,2050,8,1,4,-0.0
944,IE_electrolyzer,2050,8,5,8,-0.0
945,IE_electrolyzer,2050,8,9,12,-0.0
946,IE_electrolyzer,2050,8,13,16,-0.0
947,IE_electrolyzer,2050,8,17,20,-0.0
948,IE_electrolyzer,2050,8,21,24,-0.0
949,IE_electrolyzer,2050,9,1,4,-0.0
950,IE_electrolyzer,2050,9,5,8,-0.0
951,IE_electrolyzer,2050,9,9,12,-0.0
952,IE_electrolyzer,2050,9,13,16,-0.0
953,IE_electrolyzer,2050,9,17,20,-0.0
954,IE_electrolyzer,2050,9,21,24,-0.0
955,IE_electrolyzer,2050,10,1,4,-0.0
956,IE_electrolyzer,2050,10,5,8,-0.0
957,IE_electrolyzer,2050,10,9,12,-0.0
958,IE_electrolyzer,2050,10,13,16,-0.0
959,IE_electrolyzer,2050,10,17,20,-0.0
960,IE_electrolyzer,2050,10,21,24,-0.0
961,IT_electrolyzer,2050,1,1,4,1.7225000000000004
962,IT_electrolyzer,2050,1,5,8,1.7225000000000006
