id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
10238,PL_Nuclear,2050,6,7,8,4,0.0
10239,PL_Nuclear,2050,6,9,10,5,0.0
10240,PL_Nuclear,2050,6,11,12,6,0.0
10241,PL_Nuclear,2050,6,13,14,7,0.0
10242,PL_Nuclear,2050,6,15,16,8,0.0
10243,PL_Nuclear,2050,6,17,18,9,0.0
10244,PL_Nuclear,2050,6,19,20,10,0.0
10245,PL_Nuclear,2050,6,21,22,11,0.0
10246,PL_Nuclear,2050,6,23,24,12,0.0
10247,PL_Nuclear,2050,7,3,4,2,0.0
10248,PL_Nuclear,2050,7,5,6,3,0.0
10249,PL_Nuclear,2050,7,7,8,4,0.0
10250,PL_Nuclear,2050,7,9,10,5,0.0
10251,PL_Nuclear,2050,7,11,12,6,0.0
10252,PL_Nuclear,2050,7,13,14,7,0.0
10253,PL_Nuclear,2050,7,15,16,8,0.0
10254,PL_Nuclear,2050,7,17,18,9,0.0
10255,PL_Nuclear,2050,7,19,20,10,0.0
10256,PL_Nuclear,2050,7,21,22,11,0.0
10257,PL_Nuclear,2050,7,23,24,12,0.0
10258,PL_Nuclear,2050,8,3,4,2,0.0
10259,PL_Nuclear,2050,8,5,6,3,0.0
10260,PL_Nuclear,2050,8,7,8,4,0.0
10261,PL_Nuclear,2050,8,9,10,5,0.0
10262,PL_Nuclear,2050,8,11,12,6,0.0
10263,PL_Nuclear,2050,8,13,14,7,0.0
10264,PL_Nuclear,2050,8,15,16,8,0.0
10265,PL_Nuclear,2050,8,17,18,9,0.0
10266,PL_Nuclear,2050,8,19,20,10,0.0
10267,PL_Nuclear,2050,8,21,22,11,0.0
10268,PL_Nuclear,2050,8,23,24,12,0.0
10269,PL_Nuclear,2050,9,3,4,2,0.0
10270,PL_Nuclear,2050,9,5,6,3,0.0
10271,PL_Nuclear,2050,9,7,8,4,0.0
10272,PL_Nuclear,2050,9,9,10,5,0.0
10273,PL_Nuclear,2050,9,11,12,6,0.0
10274,PL_Nuclear,2050,9,13,14,7,0.0
10275,PL_Nuclear,2050,9,15,16,8,0.0
10276,PL_Nuclear,2050,9,17,18,9,0.0
10277,PL_Nuclear,2050,9,19,20,10,0.0
