id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
12438,HR_Nuclear,2030,1,19,19,19,0.0
12439,HR_Nuclear,2030,1,20,20,20,0.0
12440,HR_Nuclear,2030,1,21,21,21,0.0
12441,HR_Nuclear,2030,1,22,22,22,0.0
12442,HR_Nuclear,2030,1,23,23,23,0.0
12443,HR_Nuclear,2030,1,24,24,24,0.0
12444,HR_Nuclear,2030,2,2,2,2,0.0
12445,HR_Nuclear,2030,2,3,3,3,0.0
12446,HR_Nuclear,2030,2,4,4,4,0.0
12447,HR_Nuclear,2030,2,5,5,5,0.0
12448,HR_Nuclear,2030,2,6,6,6,0.0
12449,HR_Nuclear,2030,2,7,7,7,0.0
12450,HR_Nuclear,2030,2,8,8,8,0.0
12451,HR_Nuclear,2030,2,9,9,9,0.0
12452,HR_Nuclear,2030,2,10,10,10,0.0
12453,HR_Nuclear,2030,2,11,11,11,0.0
12454,HR_Nuclear,2030,2,12,12,12,0.0
12455,HR_Nuclear,2030,2,13,13,13,0.0
12456,HR_Nuclear,2030,2,14,14,14,0.0
12457,HR_Nuclear,2030,2,15,15,15,0.0
12458,HR_Nuclear,2030,2,16,16,16,0.0
12459,HR_Nuclear,2030,2,17,17,17,0.0
12460,HR_Nuclear,2030,2,18,18,18,0.0
12461,HR_Nuclear,2030,2,19,19,19,0.0
12462,HR_Nuclear,2030,2,20,20,20,0.0
12463,HR_Nuclear,2030,2,21,21,21,0.0
12464,HR_Nuclear,2030,2,22,22,22,0.0
12465,HR_Nuclear,2030,2,23,23,23,0.0
12466,HR_Nuclear,2030,2,24,24,24,0.0
12467,HR_Nuclear,2030,3,2,2,2,0.0
12468,HR_Nuclear,2030,3,3,3,3,0.0
12469,HR_Nuclear,2030,3,4,4,4,0.0
12470,HR_Nuclear,2030,3,5,5,5,0.0
12471,HR_Nuclear,2030,3,6,6,6,0.0
12472,HR_Nuclear,2030,3,7,7,7,0.0
12473,HR_Nuclear,2030,3,8,8,8,0.0
12474,HR_Nuclear,2030,3,9,9,9,0.0
12475,HR_Nuclear,2030,3,10,10,10,0.0
12476,HR_Nuclear,2030,3,11,11,11,0.0
12477,HR_Nuclear,2030,3,12,12,12,0.0
12478,HR_Nuclear,2030,3,13,13,13,0.0
12479,HR_Nuclear,2030,3,14,14,14,0.0
12480,HR_Nuclear,2030,3,15,15,15,0.0
12481,HR_Nuclear,2030,3,16,16,16,0.0
12482,HR_Nuclear,2030,3,17,17,17,0.0
12483,HR_Nuclear,2030,3,18,18,18,0.0
12484,HR_Nuclear,2030,3,19,19,19,0.0
12485,HR_Nuclear,2030,3,20,20,20,0.0
12486,HR_Nuclear,2030,3,21,21,21,0.0
12487,HR_Nuclear,2030,3,22,22,22,0.0
12488,HR_Nuclear,2030,3,23,23,23,0.0
12489,HR_Nuclear,2030,3,24,24,24,0.0
12490,HR_Nuclear,2030,4,2,2,2,0.0
12491,HR_Nuclear,2030,4,3,3,3,0.0
12492,HR_Nuclear,2030,4,4,4,4,0.0
12493,HR_Nuclear,2030,4,5,5,5,0.0
12494,HR_Nuclear,2030,4,6,6,6,0.0
12495,HR_Nuclear,2030,4,7,7,7,0.0
12496,HR_Nuclear,2030,4,8,8,8,0.0
12497,HR_Nuclear,2030,4,9,9,9,0.0
12498,HR_Nuclear,2030,4,10,10,10,0.0
12499,HR_Nuclear,2030,4,11,11,11,0.0
12500,HR_Nuclear,2030,4,12,12,12,0.0
12501,HR_Nuclear,2030,4,13,13,13,0.0
12502,HR_Nuclear,2030,4,14,14,14,0.0
12503,HR_Nuclear,2030,4,15,15,15,0.0
12504,HR_Nuclear,2030,4,16,16,16,0.0
12505,HR_Nuclear,2030,4,17,17,17,0.0
12506,HR_Nuclear,2030,4,18,18,18,0.0
12507,HR_Nuclear,2030,4,19,19,19,0.0
12508,HR_Nuclear,2030,4,20,20,20,0.0
12509,HR_Nuclear,2030,4,21,21,21,0.0
12510,HR_Nuclear,2030,4,22,22,22,0.0
12511,HR_Nuclear,2030,4,23,23,23,0.0
12512,HR_Nuclear,2030,4,24,24,24,0.0
12513,HR_Nuclear,2030,5,2,2,2,0.0
12514,HR_Nuclear,2030,5,3,3,3,0.0
12515,HR_Nuclear,2030,5,4,4,4,0.0
12516,HR_Nuclear,2030,5,5,5,5,0.0
