id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
321,BG_Nuclear,2050,7,16,24,4,0.0
322,BG_Nuclear,2050,8,6,10,2,0.0
323,BG_Nuclear,2050,8,11,15,3,0.0
324,BG_Nuclear,2050,8,16,24,4,0.0
325,BG_Nuclear,2050,9,6,10,2,0.0
326,BG_Nuclear,2050,9,11,15,3,0.0
327,BG_Nuclear,2050,9,16,24,4,0.0
328,BG_Nuclear,2050,10,6,10,2,0.0
329,BG_Nuclear,2050,10,11,15,3,0.0
330,BG_Nuclear,2050,10,16,24,4,0.0
331,BG_OCGT,2050,1,6,10,2,0.0
332,BG_OCGT,2050,1,11,15,3,0.0
333,BG_OCGT,2050,1,16,24,4,0.0
334,BG_OCGT,2050,2,6,10,2,0.0
335,BG_OCGT,2050,2,11,15,3,0.0
336,BG_OCGT,2050,2,16,24,4,0.0
337,BG_OCGT,2050,3,6,10,2,0.0
338,BG_OCGT,2050,3,11,15,3,0.0
339,BG_OCGT,2050,3,16,24,4,0.0
340,BG_OCGT,2050,4,6,10,2,0.0
341,BG_OCGT,2050,4,11,15,3,0.0
342,BG_OCGT,2050,4,16,24,4,0.0
343,BG_OCGT,2050,5,6,10,2,0.0
344,BG_OCGT,2050,5,11,15,3,0.0
345,BG_OCGT,2050,5,16,24,4,0.0
346,BG_OCGT,2050,6,6,10,2,0.0
347,BG_OCGT,2050,6,11,15,3,0.0
348,BG_OCGT,2050,6,16,24,4,0.0
349,BG_OCGT,2050,7,6,10,2,0.0
350,BG_OCGT,2050,7,11,15,3,0.0
351,BG_OCGT,2050,7,16,24,4,0.0
352,BG_OCGT,2050,8,6,10,2,0.0
353,BG_OCGT,2050,8,11,15,3,0.0
354,BG_OCGT,2050,8,16,24,4,0.0
355,BG_OCGT,2050,9,6,10,2,0.0
356,BG_OCGT,2050,9,11,15,3,0.0
357,BG_OCGT,2050,9,16,24,4,0.0
358,BG_OCGT,2050,10,6,10,2,0.0
359,BG_OCGT,2050,10,11,15,3,0.0
360,BG_OCGT,2050,10,16,24,4,0.0
361,CH_CCGT,2050,1,6,10,2,0.0
362,CH_CCGT,2050,1,11,15,3,0.0
363,CH_CCGT,2050,1,16,24,4,0.0
364,CH_CCGT,2050,2,6,10,2,0.0
365,CH_CCGT,2050,2,11,15,3,0.0
366,CH_CCGT,2050,2,16,24,4,0.0
367,CH_CCGT,2050,3,6,10,2,0.0
368,CH_CCGT,2050,3,11,15,3,0.0
369,CH_CCGT,2050,3,16,24,4,0.0
370,CH_CCGT,2050,4,6,10,2,0.0
371,CH_CCGT,2050,4,11,15,3,0.0
372,CH_CCGT,2050,4,16,24,4,0.0
373,CH_CCGT,2050,5,6,10,2,0.0
374,CH_CCGT,2050,5,11,15,3,0.0
375,CH_CCGT,2050,5,16,24,4,0.0
376,CH_CCGT,2050,6,6,10,2,0.0
377,CH_CCGT,2050,6,11,15,3,0.0
378,CH_CCGT,2050,6,16,24,4,0.0
379,CH_CCGT,2050,7,6,10,2,0.0
380,CH_CCGT,2050,7,11,15,3,0.0
381,CH_CCGT,2050,7,16,24,4,0.0
382,CH_CCGT,2050,8,6,10,2,0.0
383,CH_CCGT,2050,8,11,15,3,0.0
384,CH_CCGT,2050,8,16,24,4,0.0
385,CH_CCGT,2050,9,6,10,2,0.0
386,CH_CCGT,2050,9,11,15,3,0.0
387,CH_CCGT,2050,9,16,24,4,0.0
388,CH_CCGT,2050,10,6,10,2,0.0
389,CH_CCGT,2050,10,11,15,3,0.0
390,CH_CCGT,2050,10,16,24,4,0.0
391,CH_Coal,2050,1,6,10,2,0.0
392,CH_Coal,2050,1,11,15,3,0.0
393,CH_Coal,2050,1,16,24,4,0.0
394,CH_Coal,2050,2,6,10,2,0.0
