id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
651,BG_Pump_Hydro_Open,2050,5,5,6,0.0
652,BG_Pump_Hydro_Open,2050,5,7,8,0.0
653,BG_Pump_Hydro_Open,2050,5,9,10,-0.4545208333333335
654,BG_Pump_Hydro_Open,2050,5,11,12,-1.0151458333333336
655,BG_Pump_Hydro_Open,2050,5,13,14,-1.0151458333333334
656,BG_Pump_Hydro_Open,2050,5,15,16,0.0
657,BG_Pump_Hydro_Open,2050,5,17,18,0.0
658,BG_Pump_Hydro_Open,2050,5,19,20,0.0
659,BG_Pump_Hydro_Open,2050,5,21,22,0.0
660,BG_Pump_Hydro_Open,2050,5,23,24,0.0
661,BG_Pump_Hydro_Open,2050,6,1,2,0.0
662,BG_Pump_Hydro_Open,2050,6,3,4,0.0
663,BG_Pump_Hydro_Open,2050,6,5,6,0.0
664,BG_Pump_Hydro_Open,2050,6,7,8,0.0
665,BG_Pump_Hydro_Open,2050,6,9,10,-0.8063854166666666
666,BG_Pump_Hydro_Open,2050,6,11,12,-0.8063854166666666
667,BG_Pump_Hydro_Open,2050,6,13,14,-0.8063854166666666
668,BG_Pump_Hydro_Open,2050,6,15,16,-0.8063854166666666
669,BG_Pump_Hydro_Open,2050,6,17,18,0.0
670,BG_Pump_Hydro_Open,2050,6,19,20,0.0
671,BG_Pump_Hydro_Open,2050,6,21,22,0.0
672,BG_Pump_Hydro_Open,2050,6,23,24,0.0
673,BG_Pump_Hydro_Open,2050,7,1,2,0.0
674,BG_Pump_Hydro_Open,2050,7,3,4,0.0
675,BG_Pump_Hydro_Open,2050,7,5,6,0.0
676,BG_Pump_Hydro_Open,2050,7,7,8,0.0
677,BG_Pump_Hydro_Open,2050,7,9,10,-1.7922187500000009
678,BG_Pump_Hydro_Open,2050,7,11,12,-1.7922187500000009
679,BG_Pump_Hydro_Open,2050,7,13,14,-1.7922187500000009
680,BG_Pump_Hydro_Open,2050,7,15,16,-0.7564627906599122
681,BG_Pump_Hydro_Open,2050,7,17,18,0.0
682,BG_Pump_Hydro_Open,2050,7,19,20,0.0
683,BG_Pump_Hydro_Open,2050,7,21,22,0.0
684,BG_Pump_Hydro_Open,2050,7,23,24,0.0
685,BG_Pump_Hydro_Open,2050,8,1,2,0.0
686,BG_Pump_Hydro_Open,2050,8,3,4,0.0
687,BG_Pump_Hydro_Open,2050,8,5,6,0.0
688,BG_Pump_Hydro_Open,2050,8,7,8,-1.0917812500000001
689,BG_Pump_Hydro_Open,2050,8,9,10,-1.0917812500000001
690,BG_Pump_Hydro_Open,2050,8,11,12,-1.0917812500000001
691,BG_Pump_Hydro_Open,2050,8,13,14,-1.0917812500000001
692,BG_Pump_Hydro_Open,2050,8,15,16,-1.0917812500000001
693,BG_Pump_Hydro_Open,2050,8,17,18,0.0
694,BG_Pump_Hydro_Open,2050,8,19,20,0.0
695,BG_Pump_Hydro_Open,2050,8,21,22,0.0
696,BG_Pump_Hydro_Open,2050,8,23,24,0.0
697,BG_Pump_Hydro_Open,2050,9,1,2,0.0
698,BG_Pump_Hydro_Open,2050,9,3,4,0.0
699,BG_Pump_Hydro_Open,2050,9,5,6,0.0
700,BG_Pump_Hydro_Open,2050,9,7,8,0.0
701,BG_Pump_Hydro_Open,2050,9,9,10,-4.2798437499999995
702,BG_Pump_Hydro_Open,2050,9,11,12,-4.2798437499999995
703,BG_Pump_Hydro_Open,2050,9,13,14,-4.2798437499999995
704,BG_Pump_Hydro_Open,2050,9,15,16,-4.2798437499999995
705,BG_Pump_Hydro_Open,2050,9,17,18,0.0
706,BG_Pump_Hydro_Open,2050,9,19,20,0.0
707,BG_Pump_Hydro_Open,2050,9,21,22,0.0
708,BG_Pump_Hydro_Open,2050,9,23,24,0.0
709,BG_Pump_Hydro_Open,2050,10,1,2,0.0
710,BG_Pump_Hydro_Open,2050,10,3,4,0.0
711,BG_Pump_Hydro_Open,2050,10,5,6,0.0
712,BG_Pump_Hydro_Open,2050,10,7,8,0.0
713,BG_Pump_Hydro_Open,2050,10,9,10,0.0
714,BG_Pump_Hydro_Open,2050,10,11,12,-1.8117291666666668
715,BG_Pump_Hydro_Open,2050,10,13,14,-1.8117291666666668
716,BG_Pump_Hydro_Open,2050,10,15,16,0.0
717,BG_Pump_Hydro_Open,2050,10,17,18,0.0
718,BG_Pump_Hydro_Open,2050,10,19,20,0.0
719,BG_Pump_Hydro_Open,2050,10,21,22,0.0
720,BG_Pump_Hydro_Open,2050,10,23,24,0.0
721,CH_Battery,2050,1,1,2,0.0
722,CH_Battery,2050,1,3,4,0.0
723,CH_Battery,2050,1,5,6,0.0
724,CH_Battery,2050,1,7,8,0.0
725,CH_Battery,2050,1,9,10,0.0
726,CH_Battery,2050,1,11,12,0.0
727,CH_Battery,2050,1,13,14,0.0
728,CH_Battery,2050,1,15,16,0.0
729,CH_Battery,2050,1,17,18,0.0
730,CH_Battery,2050,1,19,20,0.0
731,CH_Battery,2050,1,21,22,0.0
732,CH_Battery,2050,1,23,24,0.0
733,CH_Battery,2050,2,1,2,0.0
734,CH_Battery,2050,2,3,4,0.0
735,CH_Battery,2050,2,5,6,0.0
736,CH_Battery,2050,2,7,8,0.0
737,CH_Battery,2050,2,9,10,0.0
738,CH_Battery,2050,2,11,12,0.0
739,CH_Battery,2050,2,13,14,0.0
740,CH_Battery,2050,2,15,16,0.0
741,CH_Battery,2050,2,17,18,0.0
742,CH_Battery,2050,2,19,20,0.0
743,CH_Battery,2050,2,21,22,0.0
744,CH_Battery,2050,2,23,24,0.0
745,CH_Battery,2050,3,1,2,0.0
746,CH_Battery,2050,3,3,4,0.0
747,CH_Battery,2050,3,5,6,0.0
748,CH_Battery,2050,3,7,8,0.0
749,CH_Battery,2050,3,9,10,0.0
750,CH_Battery,2050,3,11,12,0.0
751,CH_Battery,2050,3,13,14,0.0
752,CH_Battery,2050,3,15,16,0.0
753,CH_Battery,2050,3,17,18,0.0
754,CH_Battery,2050,3,19,20,0.0
755,CH_Battery,2050,3,21,22,0.0
756,CH_Battery,2050,3,23,24,0.0
757,CH_Battery,2050,4,1,2,0.0
758,CH_Battery,2050,4,3,4,0.0
759,CH_Battery,2050,4,5,6,0.0
760,CH_Battery,2050,4,7,8,0.0
761,CH_Battery,2050,4,9,10,0.0
762,CH_Battery,2050,4,11,12,0.0
763,CH_Battery,2050,4,13,14,0.0
764,CH_Battery,2050,4,15,16,0.0
765,CH_Battery,2050,4,17,18,0.0
766,CH_Battery,2050,4,19,20,0.0
767,CH_Battery,2050,4,21,22,0.0
768,CH_Battery,2050,4,23,24,0.0
769,CH_Battery,2050,5,1,2,0.0
770,CH_Battery,2050,5,3,4,0.0
771,CH_Battery,2050,5,5,6,0.0
772,CH_Battery,2050,5,7,8,0.0
773,CH_Battery,2050,5,9,10,0.0
774,CH_Battery,2050,5,11,12,0.0
775,CH_Battery,2050,5,13,14,0.0
776,CH_Battery,2050,5,15,16,0.0
777,CH_Battery,2050,5,17,18,0.0
778,CH_Battery,2050,5,19,20,0.0
779,CH_Battery,2050,5,21,22,0.0
780,CH_Battery,2050,5,23,24,0.0
781,CH_Battery,2050,6,1,2,0.0
782,CH_Battery,2050,6,3,4,0.0
783,CH_Battery,2050,6,5,6,0.0
784,CH_Battery,2050,6,7,8,0.0
785,CH_Battery,2050,6,9,10,0.0
786,CH_Battery,2050,6,11,12,0.0
787,CH_Battery,2050,6,13,14,0.0
788,CH_Battery,2050,6,15,16,0.0
789,CH_Battery,2050,6,17,18,0.0
790,CH_Battery,2050,6,19,20,0.0
791,CH_Battery,2050,6,21,22,0.0
792,CH_Battery,2050,6,23,24,0.0
793,CH_Battery,2050,7,1,2,0.0
794,CH_Battery,2050,7,3,4,0.0
795,CH_Battery,2050,7,5,6,0.0
796,CH_Battery,2050,7,7,8,0.0
797,CH_Battery,2050,7,9,10,0.0
798,CH_Battery,2050,7,11,12,0.0
799,CH_Battery,2050,7,13,14,0.0
800,CH_Battery,2050,7,15,16,0.0
801,CH_Battery,2050,7,17,18,0.0
802,CH_Battery,2050,7,19,20,0.0
803,CH_Battery,2050,7,21,22,0.0
804,CH_Battery,2050,7,23,24,0.0
805,CH_Battery,2050,8,1,2,0.0
806,CH_Battery,2050,8,3,4,0.0
807,CH_Battery,2050,8,5,6,0.0
808,CH_Battery,2050,8,7,8,0.0
809,CH_Battery,2050,8,9,10,0.0
810,CH_Battery,2050,8,11,12,0.0
811,CH_Battery,2050,8,13,14,0.0
812,CH_Battery,2050,8,15,16,0.0
813,CH_Battery,2050,8,17,18,0.0
814,CH_Battery,2050,8,19,20,0.0
815,CH_Battery,2050,8,21,22,0.0
816,CH_Battery,2050,8,23,24,0.0
817,CH_Battery,2050,9,1,2,0.0
818,CH_Battery,2050,9,3,4,0.0
819,CH_Battery,2050,9,5,6,0.0
820,CH_Battery,2050,9,7,8,0.0
821,CH_Battery,2050,9,9,10,0.0
822,CH_Battery,2050,9,11,12,0.0
823,CH_Battery,2050,9,13,14,0.0
824,CH_Battery,2050,9,15,16,0.0
825,CH_Battery,2050,9,17,18,0.0
826,CH_Battery,2050,9,19,20,0.0
827,CH_Battery,2050,9,21,22,0.0
828,CH_Battery,2050,9,23,24,0.0
829,CH_Battery,2050,10,1,2,0.0
830,CH_Battery,2050,10,3,4,0.0
831,CH_Battery,2050,10,5,6,0.0
832,CH_Battery,2050,10,7,8,0.0
833,CH_Battery,2050,10,9,10,0.0
834,CH_Battery,2050,10,11,12,0.0
835,CH_Battery,2050,10,13,14,0.0
836,CH_Battery,2050,10,15,16,0.0
837,CH_Battery,2050,10,17,18,0.0
838,CH_Battery,2050,10,19,20,0.0
839,CH_Battery,2050,10,21,22,0.0
840,CH_Battery,2050,10,23,24,0.0
841,CH_Pump_Hydro_Closed,2050,1,1,2,0.0
842,CH_Pump_Hydro_Closed,2050,1,3,4,0.0
843,CH_Pump_Hydro_Closed,2050,1,5,6,0.0
844,CH_Pump_Hydro_Closed,2050,1,7,8,0.0
845,CH_Pump_Hydro_Closed,2050,1,9,10,0.0
846,CH_Pump_Hydro_Closed,2050,1,11,12,-0.0
847,CH_Pump_Hydro_Closed,2050,1,13,14,-0.0
848,CH_Pump_Hydro_Closed,2050,1,15,16,-0.0
849,CH_Pump_Hydro_Closed,2050,1,17,18,0.0
850,CH_Pump_Hydro_Closed,2050,1,19,20,0.0
851,CH_Pump_Hydro_Closed,2050,1,21,22,0.0
852,CH_Pump_Hydro_Closed,2050,1,23,24,0.0
853,CH_Pump_Hydro_Closed,2050,2,1,2,0.0
854,CH_Pump_Hydro_Closed,2050,2,3,4,0.0
855,CH_Pump_Hydro_Closed,2050,2,5,6,0.0
856,CH_Pump_Hydro_Closed,2050,2,7,8,0.0
857,CH_Pump_Hydro_Closed,2050,2,9,10,0.0
858,CH_Pump_Hydro_Closed,2050,2,11,12,-1.0274319905457672
859,CH_Pump_Hydro_Closed,2050,2,13,14,-1.0274319905457672
860,CH_Pump_Hydro_Closed,2050,2,15,16,-1.0274319905457672
861,CH_Pump_Hydro_Closed,2050,2,17,18,0.0
862,CH_Pump_Hydro_Closed,2050,2,19,20,0.0
863,CH_Pump_Hydro_Closed,2050,2,21,22,0.0
864,CH_Pump_Hydro_Closed,2050,2,23,24,0.0
865,CH_Pump_Hydro_Closed,2050,3,1,2,0.0
866,CH_Pump_Hydro_Closed,2050,3,3,4,0.0
867,CH_Pump_Hydro_Closed,2050,3,5,6,0.0
868,CH_Pump_Hydro_Closed,2050,3,7,8,0.0
869,CH_Pump_Hydro_Closed,2050,3,9,10,0.0
870,CH_Pump_Hydro_Closed,2050,3,11,12,0.0
871,CH_Pump_Hydro_Closed,2050,3,13,14,0.0
